0 0 0 0 0 0 
0 -nan -nan 0 0 0 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
0.2 -nan -nan -nan -nan -nan 
